Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2015,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2015,AUG FY2015,5908,8,2015,1,2015-08-01
01-10-2015,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2015,OCT FY2015,12920,10,2015,1,2015-10-01
01-09-2015,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2015,SEP FY2015,6358,9,2015,1,2015-09-01
01-08-2016,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2022,AUG FY2022,32424,8,2022,1,2022-08-01
01-10-2016,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2022,OCT FY2022,72348,10,2022,1,2022-10-01
01-09-2016,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2022,SEP FY2022,26124,9,2022,1,2022-09-01
01-08-2017,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2002,AUG FY2002,24711,8,2002,1,2002-08-01
01-10-2017,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2002,OCT FY2002,80890,10,2002,1,2002-10-01
01-09-2017,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2002,SEP FY2002,40368,9,2002,1,2002-09-01
01-08-2018,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2008,AUG FY2008,34879,8,2008,1,2008-08-01
01-10-2018,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2008,OCT FY2008,46330,10,2008,1,2008-10-01
01-09-2018,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2008,SEP FY2008,52387,9,2008,1,2008-09-01
01-08-2019,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2007,AUG FY2007,80242,8,2007,1,2007-08-01
01-10-2019,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2007,OCT FY2007,169926,10,2007,1,2007-10-01
01-09-2019,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2007,SEP FY2007,64201,9,2007,1,2007-09-01
01-08-2020,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2011,AUG FY2011,31355,8,2011,1,2011-08-01
01-10-2020,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2011,OCT FY2011,88588,10,2011,1,2011-10-01
01-09-2020,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2011,SEP FY2011,112104,9,2011,1,2011-09-01
01-08-2021,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2012,AUG FY2012,20139,8,2012,1,2012-08-01
01-10-2021,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2012,OCT FY2012,122975,10,2012,1,2012-10-01
01-09-2021,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2012,SEP FY2012,44145,9,2012,1,2012-09-01
01-08-2022,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2022,AUG FY2022,31490,8,2022,1,2022-08-01
01-10-2022,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2022,OCT FY2022,69633,10,2022,1,2022-10-01
01-09-2022,UCEBU,PHONVOC,CP-8851-K9,Q1 FY2022,SEP FY2022,34487,9,2022,1,2022-09-01
01-12-2015,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2015,DEC FY2015,20923,12,2015,2,2015-12-01
01-01-2015,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2015,JAN FY2015,27520,1,2015,2,2015-01-01
01-11-2015,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2015,NOV FY2015,11452,11,2015,2,2015-11-01
01-12-2016,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2022,DEC FY2022,44683,12,2022,2,2022-12-01
01-01-2016,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2022,JAN FY2022,29992,1,2022,2,2022-01-01
01-11-2016,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2022,NOV FY2022,59370,11,2022,2,2022-11-01
01-12-2017,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2002,DEC FY2002,50934,12,2002,2,2002-12-01
01-01-2017,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2002,JAN FY2002,43350,1,2002,2,2002-01-01
01-11-2017,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2002,NOV FY2002,46891,11,2002,2,2002-11-01
01-12-2018,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2008,DEC FY2008,58881,12,2008,2,2008-12-01
01-01-2018,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2008,JAN FY2008,91009,1,2008,2,2008-01-01
01-11-2018,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2008,NOV FY2008,39274,11,2008,2,2008-11-01
01-12-2019,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2007,DEC FY2007,72746,12,2007,2,2007-12-01
01-01-2019,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2007,JAN FY2007,62946,1,2007,2,2007-01-01
01-11-2019,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2007,NOV FY2007,82052,11,2007,2,2007-11-01
01-12-2020,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2011,DEC FY2011,55414,12,2011,2,2011-12-01
01-01-2020,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2011,JAN FY2011,69355,1,2011,2,2011-01-01
01-11-2020,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2011,NOV FY2011,30585,11,2011,2,2011-11-01
01-12-2021,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2012,DEC FY2012,47556,12,2012,2,2012-12-01
01-01-2021,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2012,JAN FY2012,40186,1,2012,2,2012-01-01
01-11-2021,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2012,NOV FY2012,34174,11,2012,2,2012-11-01
01-12-2022,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2022,DEC FY2022,55411,12,2022,2,2022-12-01
01-01-2022,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2022,JAN FY2022,60374,1,2022,2,2022-01-01
01-11-2022,UCEBU,PHONVOC,CP-8851-K9,Q2 FY2022,NOV FY2022,62942,11,2022,2,2022-11-01
01-03-2014,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2014,MAR FY2014,0,3,2014,3,2014-03-01
01-04-2015,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2015,APR FY2015,58865,4,2015,3,2015-04-01
01-02-2015,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2015,FEB FY2015,14440,2,2015,3,2015-02-01
01-03-2015,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2015,MAR FY2015,26511,3,2015,3,2015-03-01
01-04-2016,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2022,APR FY2022,79694,4,2022,3,2022-04-01
01-02-2016,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2022,FEB FY2022,38495,2,2022,3,2022-02-01
01-03-2016,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2022,MAR FY2022,36797,3,2022,3,2022-03-01
01-04-2017,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2002,APR FY2002,80015,4,2002,3,2002-04-01
01-02-2017,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2002,FEB FY2002,41315,2,2002,3,2002-02-01
01-03-2017,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2002,MAR FY2002,53007,3,2002,3,2002-03-01
01-04-2018,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2008,APR FY2008,86999,4,2008,3,2008-04-01
01-02-2018,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2008,FEB FY2008,37672,2,2008,3,2008-02-01
01-03-2018,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2008,MAR FY2008,55127,3,2008,3,2008-03-01
01-04-2019,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2007,APR FY2007,115759,4,2007,3,2007-04-01
01-02-2019,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2007,FEB FY2007,19294,2,2007,3,2007-02-01
01-03-2019,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2007,MAR FY2007,49263,3,2007,3,2007-03-01
01-04-2020,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2011,APR FY2011,72186,4,2011,3,2011-04-01
01-02-2020,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2011,FEB FY2011,36952,2,2011,3,2011-02-01
01-03-2020,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2011,MAR FY2011,69249,3,2011,3,2011-03-01
01-04-2021,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2012,APR FY2012,61955,4,2012,3,2012-04-01
01-02-2021,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2012,FEB FY2012,45030,2,2012,3,2012-02-01
01-03-2021,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2012,MAR FY2012,27046,3,2012,3,2012-03-01
01-07-2014,UCEBU,PHONVOC,CP-8851-K9,Q4 FY2014,JUL FY2014,23370,7,2014,4,2014-07-01
01-06-2014,UCEBU,PHONVOC,CP-8851-K9,Q4 FY2014,JUN FY2014,495,6,2014,4,2014-06-01
01-05-2014,UCEBU,PHONVOC,CP-8851-K9,Q4 FY2014,MAY FY2014,259,5,2014,4,2014-05-01
01-07-2015,UCEBU,PHONVOC,CP-8851-K9,Q4 FY2015,JUL FY2015,97853,7,2015,4,2015-07-01
01-06-2015,UCEBU,PHONVOC,CP-8851-K9,Q4 FY2015,JUN FY2015,48592,6,2015,4,2015-06-01
01-05-2015,UCEBU,PHONVOC,CP-8851-K9,Q4 FY2015,MAY FY2015,44810,5,2015,4,2015-05-01
